school_type,address,phone_number,fax_number,school_email,management_email,office_email,website,miur_code,school_name
Provinciale,"Piazza Municipio,    5 -    38050    NOVALEDO",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813064,"SCUOLA PRIMARIA ""C. CORRADI"" NOVALEDO"
Provinciale,"Via Baldessari,    15 -    38050    RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813075,"SCUOLA PRIMARIA ""P. MARTINELLI"" RONCEGNO TERME"
Provinciale,"Piazza Municipio,    4 -    38050    CASTELNUOVO",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE81301V,"SCUOLA PRIMARIA ""T. V. GOZZER"" CASTELNUOVO"
Provinciale,"Via Della Chiesa,    14 -    38050    RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813086,SCUOLA PRIMARIA MARTER
Provinciale,"Via Giusti,    5 -    38050    TELVE",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE81302X,SCUOLA PRIMARIA TELVE
Provinciale,"Via delle Scuole,    19 -    38050    TELVE DI SOPRA",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813031,SCUOLA PRIMARIA TELVE DI SOPRA
Provinciale,"Via Borgo,    2/A -    38050    TELVE",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNMM81301T,"SCUOLA SECONDARIA DI PRIMO GRADO ""DON L. MILANI"" TELVE"
Provinciale,"Via Don Meggio,    2/A -    38050    RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNMM81302V,"SCUOLA SECONDARIA DI PRIMO GRADO ""M. POLA"" RONCEGNO TERME"
Provinciale,"Via Marchi,    14 -    38050    RONCHI VALSUGANA",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813109,SCUOLA PRIMARIA RONCHI VALSUGANA
Provinciale,"Via Gandhi,    1 -    38033    CAVALESE",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNCT710006,EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO
Provinciale,"Corso Degasperi,    14 -    38037    PREDAZZO",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001011,ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO
Provinciale,"Corso Degasperi,    14 -    38037    PREDAZZO",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001509,ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO
